"Compound"	"Reactions of compounds"
CPD-15228	RXN-14343
CPD0-1385	RXN-11498
CPDQT-416	RXNQT-4329 // RXNQT-4324
SELENATE	RXN-12720 // TRANS-RXN0-478 // RXN0-2101
CPD-14719	""
CPD-552	3.12.1.1-RXN // R186-RXN // HYDROGENSULFITE-REDUCTASE-RXN // RXN-8362
CPD-388	FATTY-ACID-PEROXIDASE-RXN
OH	RXN-16805 // RXN-16809 // RXN-1761 // RXN-12540 // RXN-10688
CPD-3	RXN-8348 // 3.6.3.29-RXN // ABC-19-RXN
CPDQT-350	RXNQT-4317 // RXN-18163 // RXN-11418 // RXNQT-4312 // RXN-13005
HSO4	""
CPDQT-262	RXNQT-4318 // RXN-18162 // RXN-11419 // RXNQT-4313 // RXN-12991
CPD-10778	RXN-10019
CPDQT-405	RXNQT-4316 // RXN-18160 // RXN-11417 // RXNQT-4311 // RXN-13025
CPD0-2517	""
CPDQT-341	RXNQT-4314 // RXN-18165 // RXN-11415 // RXNQT-4309 // RXN-13020
ANTIMONITE	""
CPDQT-343	RXNQT-4315 // RXN-18164 // RXN-11416 // RXNQT-4310 // RXN-13023
CPD0-1395	RXN-18723
3-METHYLTHIOPROPANALDOXIME	RXN-2207 // RXN-18161 // RXN-11414 // RXN-2206 // RXN-13016
SELENITE	RXN0-2101 // RXN-12721 // RXN-12864 // TRANS-RXN0-479
CPDQT-413	RXNQT-4326 // RXN-11441 // RXNQT-4321
CPD-7046	""
CPDQT-414	RXNQT-4327 // RXN-11442 // RXNQT-4322
S2O3	RXN0-6385 // RXN-8202 // 2.8.1.5-RXN // THIOSULFATE--THIOL-SULFURTRANSFERASE-RXN // THIOSULFATE-SULFURTRANSFERASE-RXN // 1.8.5.2-RXN // THIOSULFATE-DEHYDROGENASE-RXN // RXN-17805 // SULFOCYS-RXN // RXN-18665 // RXN-11951 // RXN-18796 // RXN-8358 // RXN-18002 // RXN-18001 // RXN-18056 // RXN-8339 // RXN-15839 // R186-RXN // SOXA-FDENIT-RXN // ABC-7-RXN // RXN-10852 // RXN-11945 // 3.12.1.1-RXN
CPDQT-411	RXNQT-4324 // RXN-11439 // RXNQT-4319
CPD-4422	""
CPDQT-415	RXNQT-4328 // RXN-11443 // RXNQT-4323
NITRATE	RXN0-6370 // RXN0-5242 // R247-RXN // RXN-15858 // RXN-15859 // RXN-11236 // RXN0-7124 // RXN0-3501 // RXN0-6369 // RXN-16471 // NITRATE-REDUCTASE-CYTOCHROME-RXN // RXN-18723 // NITRATE-REDUCTASE-NADPORNOPH-RXN // NITRATE-REDUCTASE-NADPH-RXN // 3.6.3.26-RXN // 1.7.7.2-RXN // TRANS-RXN0-239 // RXN-12316 // R621-RXN // NITRATE-REDUCTASE-NADH-RXN
CPDQT-412	RXNQT-4325 // RXN-11440 // RXNQT-4320
CPD-13724	""
CPD-404	METHYLGUTAMATE-DEHYDROGENASE-RXN // 2.1.1.21-RXN // RXN-12902
HCO3	RXN0-742 // PYRUVATE-CARBOXYLASE-RXN // RXN-1303 // GERANOYL-COA-CARBOXYLASE-RXN // RXN-12782 // METHYLCROTONYL-COA-CARBOXYLASE-RXN // BIOTIN-CARBOXYL-RXN // R524-RXN // CARBPSYN-RXN // RXN-14569 // RXN-14999 // RXN1G-4355 // RXN-13202 // RXN-16909 // RXN-12893 // RXN-18032 // RXN0-5224 // PROPIONYL-COA-CARBOXY-RXN // ACETYL-COA-CARBOXYLTRANSFER-RXN // RXN-18031 // PEPCARBOX-RXN // RXN-15264 // 1.2.1.27-RXN // RXN-11213 // RXN-12342 // RXN-13856 // DCDPC-RXN
N-METHYLTRYPTOPHAN	RXN0-301
ARSENATE	RXN-7001 // RXN-11187 // RXN-982 // RXN-15817 // RXN-15837 // 1.20.98.1-RXN // RXN-12586 // RXN-10737 // TRANS-RXN0-550 // 1.20.99.1-RXN
CPD-15285	RXN-14437 // RXN-14438
TUNGSTATE	TRANS-RXN-242B
NALPHANALPHA-DIMETHYL-L-HISTIDINE	2.1.1.44-RXN // RXN-14437
CPD0-1463	""
CPD-298	N-METHYLALANINE-DEHYDROGENASE-RXN
SO3	CYSTEINE-LYASE-RXN // SULFITE-OXIDASE-RXN // FESO3OXI-RXN // 1.8.4.9-RXN // RXN-8315 // RXN-2364 // 1.8.4.8-RXN // RXN-11108 // RXN-12019 // ADENYLYLSULFATE-REDUCTASE-RXN // SULFITE-DEHYDROGENASE-RXN // RXN-15347 // RXN-8339 // RXN-18001 // RXN-18002 // RXN-15349 // SULFITE-REDUCTASE-FERREDOXIN-RXN // RXN-18586 // RXN-11944 // RXN-18086 // RXN-9770 // RXN-17805 // 4.4.1.19-RXN // HYDROGENSULFITE-REDUCTASE-RXN // RXN-17803 // RXN-17802 // RXN0-279 // RXN-13704 // RXN-16574 // RXN-13161 // RXN-15583 // 4.4.1.25-RXN // RXN-11691 // R186-RXN // RXN-16446 // 3SC23OSPON-RXN // R164-RXN // RXN-16015 // RXN-15618 // RXN-9733 // RXN-15362 // RXN-14908 // 3-SULFINYL-PYRUVATE-SPON-RXN // RXN-1223 // RXN-15341 // RXN0-6973 // RXN-13418 // RXN0-280 // THIOSULFATE-SULFURTRANSFERASE-RXN // THIOSULFATE--THIOL-SULFURTRANSFERASE-RXN // 2.8.1.5-RXN // TSDOSALCAL-RXN // 1.13.11.55-RXN // RXN-8202 // RXN0-6385 // SULFFEOXIDO-RXN // RXN-9734 // RXN0-299 // RXN-701 // RXN-624 // SULFITE-REDUCT-RXN // BSDOSALCAL-RXN // 4-SULFOBENZOATE-34-DIOXYGENASE-RXN
CPD-17841	""
CPD-846	RXN-8380 // RXN-8128 // RXN-13229
CPD-17838	""
CPD-17835	""
CPD-17845	""
CPD-13595	""
CPD-17842	""
CPD-13586	PYRITHIAMIN-DEAMINASE-RXN
CPD-17839	""
TRIMETHYLSULFONIUM	2.1.1.19-RXN // THIOETHER-S-METHYLTRANSFERASE-RXN
CPD-17836	""
CPD-13587	PYRITHIAMIN-DEAMINASE-RXN
CPD-17843	""
CPD-13589	""
CPD-17840	""
CPD-17837	""
CPD-17844	""
CPD0-2443	""
CPD-19965	""
CPD0-1676	""
CPD-10713	""
CPD-8951	""
CPD-19964	""
CPD-6967	""
CPD-660	MALEATE-HYDRATASE-RXN // 1.1.1.83-RXN // RXN-14935 // RXN-18433 // TRANS-RXN0-451
PMS	""
MAL	MALIC-NADP-RXN // MALATE-DEHYDROGENASE-NADP+-RXN // FUMHYDR-RXN // RXN8J2-1 // RXNI-3 // RXN-10825 // 1.1.1.39-RXN // RXN-8964 // MALATE-DEH-RXN // MALATE--COA-LIGASE-RXN // RXN-10813 // MALATE-DEHYDROGENASE-ACCEPTOR-RXN // RXN-16819 // 2.3.1.92-RXN // RXN-6002 // RXN-16329 // TRANS-RXN-106B // TRANS-RXN-121A // RXN-14937 // MALSYN-RXN // LACTATE-MALATE-TRANSHYDROGENASE-RXN // TRANS-RXN-224 // TRANS-RXN-225
CPD0-2621	""
CPD0-2430	""
CPD0-1634	""
CPD-7082	""
TIRON	""
CPD-19640	""
AMINO-ETC-METHYLPYRIMIDINIUM	""
CPD0-2431	""
CPD0-1651	""
TRIS-HYDROCHLORIDE	""
CPD-19641	""
HYDROXY-ETC-METHYLPYRIMIDINIUM	""
CPD-12472	""
MALTOTRIOSE-ATP	""
CPD0-2262	""
CPD-8200	RXN0-2625
CPD-8180	RXN0-2621 // RXN0-2622
PRODUCTS-OF-ATP-BREAKDOWN	""
CPD-8521	RXN0-1922
CPD-8181	RXN0-2622
UV-Light	RXN-14252 // RXN-9827
Heat	RXN-15978 // RXN-9828
CPD0-1208	""
CPD-8199	RXN0-2625
CPD-15815	RXN-14030 // RXN-14879
CPD-15595	""
CPD-15649	""
CPD-15594	RXN-14766 // RXN-14755
CPD-11828	RXN-10874
CPD-19794	RXN-10875
CPD-11839	RXN-10880
CPD-19795	RXN-10876
CPD-527	R261-RXN
CPD-11826	RXN-10869
CPD-530	R261-RXN
CPD-12610	RXN-18155 // RXN-18154 // RXN-11645
CPD-14959	""
CPD-18431	""
CPD-41	""
CPD-18407	""
CPD-16568	RXN-15357
CORTICOSTERONE	RXN66-360 // RXN66-359
CPD-20032	RXN-18736
CORTISOL	CORTISOL-SULFOTRANSFERASE-RXN // CORTISOL-O-ACETYLTRANSFERASE-RXN // RXN-12085 // RXN-15357 // RXN66-357
CPD-14741	RXN-3768 // RXN-13700 // RXN-16376
CPD-717	RXN-11534 // RXN-11535 // RXN-776 // RXN-775 // RXN-11101
CPD-14740	RXN-4504 // RXN-13699
CPD-3941	""
CPD-3441	RXN-3601 // RXN-3602
CPD-714	RXN-716 // RXN-715
CPD-17501	RXN-16257 // RXN-16255
CPD-17420	RXN-16171 // RXN-4241
CPD-17023	RXN-15799
CPD-711	RXN-714 // RXN-713
CPD-17096	""
CPD-12498	RXN-11539 // RXN-11537
CPD-17021	RXN-15799 // RXN-15797
CPDQT-326	RXN-10869 // RXN-10868
CPD-17022	RXN-15798
CPD-707	RXN-4225 // RXN-709 // RXN-4242 // RXN-708
CPD-18639	""
CPD-12495	RXN-11533 // RXN-11529
DEACETYLIPECOSIDE	4.3.3.4-RXN
CPD-723	RXN-778 // RXN-777
CPD-18763	""
CPD-634	RXN-720 // RXN-11540 // RXNQT-4398 // RXN-10876 // RXN-719 // RXN-779
CPD-18640	""
CPD-11837	RXN-10879 // RXN-10880
CPD-14812	RXN-13791 // RXN-13790
CPD-718	RXN-16173 // RXN-718 // RXN-717
DEACETYLISOIPECOSIDE	RXN-13790 // 4.3.3.3-RXN
CPD-3943	RXN-11529 // RXN-4226 // RXN-4225
CPD-9211	RXN-8884
CPD-715	RXN-775 // RXN-11536 // RXN-774
CPD-18641	""
CPD-17421	RXN-16172 // RXN-11536
CPD-17696	""
CPD-712	RXN-11052 // RXN-4228 // RXN-774 // RXN-773
CPD-9212	RXN-8884 // RXN-8880
CPD-12500	RXN-11540
CPD-18738	""
CPDQT-522	RXNQT-4398
CPD-11988	""
CPD-709	RXN-4230 // RXN-711 // RXN-712
CPD-17616	RXN-18745 // RXN-16376
CPD-12496	RXN-11533 // RXN-11534 // RXN-11530
CPD-17502	RXN-16258 // RXN-16256
CPD-724	RXN-779 // RXN-778
CPD-17503	RXN-16257
CPD-697	RXN-11541 // RXNQT-4397 // RXN-10875 // RXN-720
CPD-17504	RXN-16258
CPD-11840	""
CPD-9646	PHOSNACMURPENTATRANS-RXN // 2.4.1.54-RXN // RXN-11347 // 2.7.8.6-RXN // GLCNACPTRANS-RXN // RXN-8975 // RXN0-3521 // RXN-14571 // RXN-15377 // RXN-11791 // RXN-18036 // UNDECAPRENOL-KINASE-RXN // RXN-18064 // RXN-18061 // RXN-18038 // TEICHOICSYN8-RXN // RXN-18033 // RXN-18030 // RXN-18027 // RXN0-5383 // RXN-16281 // RXN0-2001 // RXN-12366 // UNDECAPRENYL-DIPHOSPHATASE-RXN // RXN-12367
CPD-719	RXN-11538 // RXN-718 // RXN-719 // RXN-16171
CPD-17820	RXN-13269
CPD-3945	RXN-11530 // RXN-4226 // RXN-4229 // RXN-4231
UNDECAPRENYL-P	""
CPD-11827	RXN-10873 // RXN-10874
CPD-12587	RXN-11777 // RXN-11626 // RXN-11625 // RXN-12304 // RXN-11776
CPD-716	RXN-11537 // RXN-717 // RXN-716 // RXN-16172
CPD-12594	RXN-11628 // RXN-12325 // RXN-11629
CPD-17422	RXN-16173 // RXN-11535
DECAPRENOL-PHOSPHATE	""
CPD-713	RXN-715 // RXN-714
CPD-7110	RXN-18441
CPD-12501	RXN-11541
CPD-7111	RXN-18449
CPDQT-523	RXNQT-4397
CPD-19790	RXN-18450
CPD-710	RXN-773 // RXN-712 // RXN-713
CPD-7116	""
CPD-12497	RXN-11539 // RXN-11538
CPD-7115	""
CPD-8134	RXN-8352 // RXN-8353
CPD-19791	RXN-18452
CPD-12493	RXN-11531 // RXN-11532
CPD-7106	RXN-7807
CPD-720	RXN-776 // RXN-4241 // RXN-777 // RXN-11052 // RXN-11531
CPD-7108	RXN-7809
CPD-3946	RXN-4229 // RXN-11101 // RXN-11532 // RXN-4228 // RXN-4230
CPD-11835	RXN-10878
CPD-10303	RXN-9702
L-ALLO-THREONINE	RXN-16001 // LTAA-RXN // RXN-16000
GERANYLGERANYL-PP	CASBENE-SYNTHASE-RXN // 2.5.1.42-RXN // 4.2.3.17-RXN // 5.5.1.13-RXN // RXN-8528 // 2.5.1.41-RXN // RXN-10627 // RXN-10630 // RXN-10632 // RXN-11485 // RXN-11486 // RXN-11778 // RXN-11779 // 2.5.1.32-RXN // RXN-4861 // RXN-8813 // RXN-10631 // RXN-9456 // RXN-9457 // RXN-3701 // RXN-10441 // RXN-14929 // RXN-15429 // RXN-15494 // RXN-15705 // RXN-15706 // RXN-15707 // RXN-15708 // RXN-17085 // RXN-17480 // RXN-7663 // RXN-7673 // RXN-8788 // RXN-11488 // RXN-11458 // RXN1F-144 // RXN-18785 // RXN-18786 // RXN-18811 // RXN-18812 // RXN-10625 // RXN-7658 // RXN-11772 // FARNESYLTRANSTRANSFERASE-RXN // RXN-11628
CPD-9650	RXN-9360 // RXN-9139
ALL-TRANS-PENTAPRENYL-DIPHOSPHATE	RXN-15427 // RXN-18523 // RXN-18855 // RXN-17161 // RXN-17084 // RXN-8813
ALDOSTERONE	RXN66-361
OCTAPRENYL-DIPHOSPHATE	RXN-10623 // 4OHBENZOATE-OCTAPRENYLTRANSFER-RXN // DMK-RXN // RXN-8992
CPD-15603	RXN-14739 // RXN-14738
CPD-9972	RXN-9365 // RXN-9364
CPD-276	RXN-14736 // RXN-14737 // RXN-18800 // RXN-18799 // ECDYSONE-20-MONOOXYGENASE-RXN
CPD-9610	RXN-9230 // RXN-9358 // RXN-9106
CPD-15638	""
ALL-TRANS-HEPTAPRENYL-DIPHOSPHATE	RXN-13337 // RXN-9222 // RXN-9190 // RXN-11458 // TRANS-HEXAPRENYLTRANSTRANSFERASE-RXN
CPD-15601	RXN-14738 // RXN-14737
SOLANESYL-PYROPHOSPHATE	RXN-2761 // 2.5.1.39-RXN // RXN-9204 // TRANS-OCTAPRENYLTRANSTRANSFERASE-RXN // RXN-11486
ECDYSONE	ECDYSONE-20-MONOOXYGENASE-RXN // ECDYSONE-OXIDASE-RXN // RXN-14755 // ECDYSONE-O-ACYLTRANSFERASE-RXN // RXN-18799 // RXN-18800 // RXN-14679 // RXN-14766 // RXN-14683
CPD-9649	RXN-9359 // RXN-9138 // RXN-11798
CPD-15705	""
ALL-TRANS-HEXAPRENYL-DIPHOSPHATE	RXN-14291 // RXN-14319 // RXN-14320 // RXN-14322 // RXN-14909 // RXN-14321 // RXN-9003 // RXN-9217 // TRANS-PENTAPRENYLTRANSFERASE-RXN // RXN-11485
CPD-15602	RXN-14739 // RXN-14736
CPD-15707	""
CPD-8838	JUVENILE-HORMONE-ESTERASE-RXN // RXN-11621 // RXN-11771
CPD-17899	""
METHYL-EPOXYTRIDECADIENOATE	""
CPD-8834	RXN-15039
CPD-19248	""
CPD-18179	RXN-16851
CPD-17897	RXN-16609
CPD-11423	RXN-10626
CPD-8835	RXN-15051 // RXN-15040
CPD-17898	""
CPD-9953	RXN-9342 // RXN-9340
ESTRONE	ESTRONE-SULFOTRANSFERASE-RXN // RXN66-346 // RXN-14746 // ESTRADIOL-17-BETA-DEHYDROGENASE-RXN // RXN-14263 // ESTRADIOL-17-ALPHA-DEHYDROGENASE-RXN
CPD-9826	RXN-9211 // RXN-9218 // RXN-9213
CPD-352	ESTRADIOL-6-BETA-MONOOXYGENASE-RXN // ESTRADIOL-17-BETA-DEHYDROGENASE-RXN // RXN-14744 // RXN66-349
CPD-9327	RXN-8927 // RXN-8925
ESTRIOL	""
CPD-8924	RXN-14834 // RXN-8700
CPD-15604	""
CPD-8655	RXN-8480
CPD-13706	RXN-12737
CPD-18325	""
ANDROST4ENE	1.14.99.12-RXN // RXN-12737 // RXN-14746 // RXN66-344 // RXN-17521 // RXN-12714 // RXN-12713 // 4.1.2.30-RXN // RXN-12124 // RXN-16513 // TESTOSTERONE-17-BETA-DEHYDROGENASE-RXN // RXN-12745 // 1.1.1.51-RXN // RXN-7819 // RXN66-362 // 1.1.1.64-RXN
CPD-17881	RXN-16585 // RXN-16583
CPD-698	RXN-4231 // RXN-710 // RXN-711
CPD-15742	RXN-14873
CPD-15608	""
CPD-14816	RXN-13796 // RXN-13795
CPD-13708	RXN-12717 // RXN-12715
CPD-14464	RXN-13479 // RXN-13478
CPD-13680	RXN-12715 // RXN-12691
CPD-12363	RXN-11399
PROGESTERONE	PROGESTERONE-11-ALPHA-MONOOXYGENASE-RXN // RXN-7817 // PROGESTERONE-MONOOXYGENASE-RXN // RXN66-358 // RXN-11240 // RXN66-355 // RXN-9726 // PROGESTERONE-5-ALPHA-REDUCTASE-RXN // RXN66-354 // RXN-9722
CPD-9940	RXN-9318 // RXN-9320
CPD-18924	RXN-17521
CPD-9788	RXN-9208 // RXN-13556 // RXN-9207
CPD-13709	1.13.11.25-RXN // RXN-12717
CPD-9215	RXN-8883 // RXN-8881
CPD-13704	RXN-12691 // RXN-12714
CPD-8890	RXN-8635
CPD-18926	""
CPD-8652	RXN-8478 // RXN-11369 // RXN-8481 // RXN-8483
CPD-342	RXN-12124 // 1.1.1.209-RXN
CPD-18302	RXN-16982
CPD-17432	RXN-16187 // RXN-16188 // RXN-16186
CPD-15297	RXN-14449
CPD-14813	RXN-13792 // RXN-13791
CPD-14459	RXN-13469 // RXN-13476 // RXN-13468
CPD-12357	RXN-11411 // RXN-11390
CPD-9936	RXN-9315
CPD-9785	RXN-9210
CPD-9210	""
CPD-8757	RXN-8567
CPD-19604	""
CPD-18299	RXN-16980 // RXN-16979
CPD-17429	RXN-16188 // RXN-16183 // RXN-16182
CPD-16898	RXN-15669 // RXN-15668
CPD-15014	RXN-16976 // RXN-13989
CPD-14516	RXN-13527 // RXN-13524
CPD-14390	RXN-13425
CPD-12316	""
CPD-9851	RXN-9219 // RXN-9218
CPD-9426	RXN-8983
CPD-9183	""
CPD-8672	RXN-8490 // RXN-8489
CPD-18646	""
CPD-18295	RXN-16977 // RXN-16976
CPD-17338	RXN-16089
CPD-16782	RXN-15543 // RXN-15542
CPD-14833	RXN-13812 // RXN-13811
CPD-14511	RXN-13526
CPD-13928	RXN-12887
CPD-11850	""
MORPHINE	MORPHINE-6-DEHYDROGENASE-RXN // RXN-8152
CPD-9846	RXN-9212
CPD-9333	""
CPD-9180	""
CPD-8659	RXN-8486
CPD-18643	""
CPD-17887	RXN-16590 // RXN-16589
CPD-16986	RXN-15765
CPD-15801	RXN-14870 // RXN-14869
CPD-14830	RXN-13809 // RXN-13808
CPD-14468	RXN-11367 // RXN-11366
CPD-12845	RXN-11851 // RXN-8857
CPD-8490	RXN-16653
CPD-11775	RXN-10864 // RXN-14030 // RXN-10859
CPD-7880	RXN-16654
CPD-9954	RXN-9342
CPD-7879	""
CPD-9832	""
CPD-14926	RXN66-479 // RXN66-478
CPD-9330	""
CPD-7886	""
CPD-8925	RXN-8702
CPD-12667	""
CPD-8656	RXN-8482 // RXN-8484 // RXN-8481
CPD-7882	""
CPD-18326	""
CPD-19476	RXN-18183 // RXN-18182
CPD-17884	RXN-16587 // RXN-16586
CPD-19479	RXN-18189 // RXN-18188
CPD-15798	RXN-14872 // RXN-14870 // RXN-14871
CPD-19478	RXN-18187 // RXN-18186
CPD-14817	RXN-13796
CPD-19481	RXN-18193 // RXN-18192
CPD-14465	RXN-13477 // RXN-13476
CPD-19477	RXN-18185 // RXN-18184
CPD-12364	RXN-11399 // RXN-11395
CPD-19480	RXN-18191 // RXN-18190
CAPSAICIN	RXN-8927
CPDQT-40	RXN-18200 // RXNQT-4178 // RXN-18193 // RXNQT-4176
CPD-9941	RXN-9320 // RXN-9319
3-2-METHYLTHIOETHYLMALIC-ACID	RXN-2204 // RXN-18183 // RXN-2203
CPD-9789	RXN-9207 // RXN-9206
CPD-17763	""
CPD-9216	RXN-8881 // RXN-8882
CPD-19662	""
CPD-8915	RXN-8687 // RXN-18224
CPD-17762	""
CPD-8653	RXN-8480 // RXN-8479 // RXN-8635 // RXN-8490 // RXN-8478
CPD-19489	RXN-18205 // RXN-18204
CPD-18303	""
CPD-15977	RXN-15090
CPD-17433	RXN-16187 // RXN-16184
CPD-17375	RXN-16119 // RXN-16121
CPD-16969	RXN-15748 // RXN-15747
CPDQT-36	RXN-18208 // RXNQT-4165 // RXN-18185 // RXNQT-4164
CPD-15300	RXN-14450
CPD-13291	""
CPD-14814	RXN-13793 // RXN-13792
CPD-13292	""
CPD-14460	RXN-11390 // RXN-13469
CPD-13290	""
CPD-12358	RXN-13483 // RXN-11411
CPDQT-37	RXN-18206 // RXNQT-4168 // RXN-18187 // RXNQT-4167
CPD-9938	RXN-9317 // RXN-9319 // RXN-9316
CPD-19490	RXN-18207 // RXN-18206
CPD-9786	RXN-9210 // RXN-9209
CPD-19487	RXN-18201 // RXN-18200
CPD-9213	RXN-8880 // RXN-8875
CPDQT-38	RXN-18204 // RXNQT-4171 // RXN-18189 // RXNQT-4170
CPD-8853	RXN-8625 // RXN-8624
CPD-19491	RXN-18209 // RXN-18208
CPD-20057	""
CPD-19488	RXN-18203 // RXN-18202
CPD-18300	RXN-16981 // RXN-16980
CPDQT-39	RXN-18202 // RXNQT-4174 // RXN-18191 // RXNQT-4173
CPD-17430	RXN-16184 // RXN-16183
CPD-2461	""
CPD-16899	RXN-15668 // RXN-15667
MALEATE	MALEATE-ISOMERASE-RXN // RXN-10447 // RXN-646 // MALEATE-HYDRATASE-RXN
CPD-15042	RXN-14031 // RXN-14030
ENOL-OXALOACETATE	OXALOACETATE-TAUTOMERASE-RXN
CPD-14544	RXN-13557 // RXN-13556
CPD-15286	RXN-14444 // RXN-14443 // RXN-14445
CPD-14457	""
SUC	FUMARATE-REDUCTASE-NADH-RXN // RXN0-268 // RXN-12511 // RXN-14970 // SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN // SUCCCOASYN-RXN // SUCCINATE--COA-LIGASE-GDP-FORMING-RXN // RXN-15378 // RXN-14971 // RXN0-986 // TRANS-RXN-121 // RXN-18602 // RXN-9384 // O-SUCCHOMOSERLYASE-RXN // RXN0-7280 // RXN-18739 // RXN0-7275 // RXN-18738 // RXN-18737 // RXN-15369 // RXN-18677 // RXN-18623 // RXN490-3641 // RXN-1744 // RXN-8807 // RXN-864 // RXN-14724 // 2.8.3.13-RXN // OXALATE-COA-TRANSFERASE-RXN // RXN-10085 // 3-OXOADIPATE-COA-TRANSFERASE-RXN // RXN-14244 // RXN-18394 // 3-OXOACID-COA-TRANSFERASE-RXN // RXNI-2 // RXN-18348 // RXN-18385 // RXN-602 // LEUCPEL-RXN // METBALT-RXN // RXN-9772 // RXN-17812 // RXN-17811 // RXN-17810 // RXN-17674 // RXN-16344 // TRANS-RXN-300 // 1.14.11.9-RXN // RXN-14981 // RXN-7922 // RXN-17679 // RXN-17381 // RXN-16989 // RXN-16902 // RXN-16981 // RXN-16980 // RXN-16977 // RXN-16976 // RXN-14397 // RXN-16827 // RXN-16762 // TRANS-RXN0-552 // RXN-16497 // RXN-16489 // RXN-16488 // RXN0-5293 // RXN-12353 // RXN-16093 // RXN1F-169 // RXN1F-164 // RXN-886 // RXN1F-143 // RXN-7591 // RXN-16086 // RXN-16015 // RXN-15841 // RXN0-7090 // RXN-15600 // RXN-15593 // RXN-15295 // RXN-14963 // RXN-8987 // RXN-15311 // RXN-13635 // RXN-15147 // RXN-14933 // TRANS-RXN-127 // TRANS-RXN-106B // TRANS-RXN0-201 // TRANS-RXN0-499 // TRANS-RXN-106A // TRANS-RXN-106 // RXN-9929 // SUCCINYL-COA-HYDROLASE-RXN // RXN-15082 // RXN-7686 // R601-RXN // RXN-14935 // RXN-8966 // 2.8.3.7-RXN // RXN-8964 // RXN-14401 // RXN-7687 // RXN-8450 // NARINGENIN-3-DIOXYGENASE-RXN // RXN-527 // RXN1F-93 // RXN-14426 // RXN0-984 // RXN-14823 // RXN-14821 // RXN-14822 // RXN-14820 // RXN-8661 // RXN-14656 // RXN-14655 // RXN-8949 // RXN-12537 // RXN-13396 // RXN-14542 // RXN-14541 // RXN-14538 // RXN-14407 // RXN-14327 // RXN-14318 // RXN-13186 // RXN-14123 // RXN-14423 // RXN-14071 // 1.14.11.20-RXN // RXN-12535 // RXN-12660 // RXN-12655 // RXN-13844 // RXN-13751 // RXN-12651 // RXN-13839 // 6-BETA-HYDROXYHYOSCYAMINE-EPOXIDASE-RXN // RXN-8152 // RXN-8147 // RXN-8000 // RXN-7983 // RXN-7982 // RXN-7775 // RXN-7648 // RXN-6266 // RXN-6267 // 1.14.11.21-RXN // RXN66-470 // RXN-13639 // RXN-13638 // RXN-13636 // PROCOLLAGEN-PROLINE-3-DIOXYGENASE-RXN // HYOSCYAMINE-6-DIOXYGENASE-RXN // 1.14.11.10-RXN // THYMINE-DIOXYGENASE-RXN // 1.14.11.3-RXN // MHPCHYDROL-RXN // 1.14.11.18-RXN // RXN-8660 // 1.14.11.24-RXN // RXN-6685 // RXN-12963 // RXN-12663 // RXN-12662 // RXN0-985 // RXN-12349 // RXN-12168 // RXN-12008 // RXN1F-168 // RXN-6524 // SUCCINATE-SEMIALDEHYDE-DEHYDROGENASE-RXN // RXN-8149 // RXN-8151 // RXN-11321 // RXN-11320 // 1.14.11.2-RXN // RXN-9901 // 1.14.11.1-RXN // TRIMETHYLLYSINE-DIOXYGENASE-RXN // RXN-9864 // RXN-9863 // PEPTIDE-ASPARTATE-BETA-DIOXYGENASE-RXN // RXN1F-167 // SUCCSEMIALDDEHYDROG-RXN // RXN0-5245 // 1.14.11.28-RXN // RXN-8379 // 1.14.11.26-RXN // RXN-7785 // RXN1F-101 // RXN-7589 // RXN-7680 // RXN1F-162 // RXN1F-99 // RXN-7590 // RXN1F-163 // RXN-991 // RXN-947 // RXN-292 // RXN-172 // RXN-171 // RXN-118 // RXN-115 // RXN-114 // RXN-113 // RXN-6550 // RXN-6547 // RXN-6546 // RXN-6544 // RXN-6543 // RXN-6542 // RXN-6541 // RXN1F-165 // RXN-6523 // RXN-6522 // RXN1F-170 // SUCCGLUDESUCC-RXN // PROCOLLAGEN-LYSINE-5-DIOXYGENASE-RXN // 1.14.20.1-RXN // RXN-943 // RXN0-299 // S-SUCCINYLGLUTATHIONE-HYDROLASE-RXN // METHYLISOCITRATE-LYASE-RXN // ISOCIT-CLEAV-RXN // SUCCDIAMINOPIMDESUCC-RXN
CPD-12317	""
FUM	RXN-863 // RXN-942 // RXN0-5245 // R601-RXN // RXN-9929 // RXN-14963 // RXN-15295 // RXN-16290 // RXN-9772 // RXN-14971 // TRANS-RXN-299 // TRANS-RXN0-553 // RXN-15378 // RXN-15742 // SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN // TRANS-RXN-106 // TRANS-RXN-121B // RXN-14970 // ASPARTASE-RXN // RXN-10445 // RXN-12070 // RXN-13372 // RXN-12153 // RXN-22 // AICARSYN-RXN // FUMHYDR-RXN // MALEATE-ISOMERASE-RXN // FUMARATE-REDUCTASE-NADH-RXN // FUMARYLACETOACETASE-RXN // CARBOXYMETHYLOXYSUCCINATE-LYASE-RXN // ARGSUCCINLYA-RXN // AMPSYN-RXN
S-N-METHYLCANADINE	1.14.13.37-RXN // RXN-13807 // RXN-13806
3-METHYLTHIOPROPYLHYDROXAMIC-ACID	RXN-2208 // RXN-11438 // RXN-8052
CPD-9893	RXN-15514 // RXN-9275
CPD-19849	RXN-18552 // RXN-18551
CPD-9776	RXN-13425 // RXN-11192 // RXN-13424 // RXN-9201
CPD-19859	RXN-18566 // RXN-18565
CPD-9185	""
CPD-19860	RXN-18569 // RXN-18567
