"Compound"	"Reactions of compounds"
CPD-9542	""
CPD-18873	RXN-17467
CPD0-1961	""
CPD-18870	RXN-17466
SALUTARIDINE	1.1.3.35-RXN // 1.1.1.248-RXN
CPD-18871	RXN-17465
CPD-12014	RXN-11058 // RXN-11056
CPD-18872	RXN-17468
CPD-14618	""
CHLOROPHYLL-A	RXN-7738 // RXN-7666 // RXN-17428 // RXN-17494 // RXN-8378 // RXN-7679 // RXN1F-66
DIOXINDOLE-3-ACETATE	RXN-3942 // RXN-9131 // RXN-3941 // RXN-9130
CPD-18900	""
CPD-18332	RXN-17006
CPD-18905	RXN-17494
CPD-2742	RXN66-167 // RXN66-166 // RXN66-161 // RXN66-163 // RXN66-169 // RXN66-168 // RXN66-62
CPD-16649	RXN-15416 // RXN-15417
2-ARYLPROPIONATE	4.1.1.76-RXN
CPD-12188	RXN-13958 // RXN-11223
CPD-6964	RXN-7612
CPD-10168	RXN-9487 // RXN-9489 // RXN-9486
ATROPINE	TROPINESTERASE-RXN
CPD-9322	RXN-8924
CPD-9445	RXN-12676 // 2.5.1.67-RXN
CPD-18876	RXN-18416 // RXN-17458
CPD0-1914	""
CPD-18877	RXN-18420 // RXN-17459
S-METHYL-3-PHOSPHO-1-THIO-D-GLYCERATE	3.1.3.14-RXN
CPD-18874	RXN-18414 // RXN-17457
CPD-11900	""
CPD-18875	RXN-18418 // RXN-17456
CPD-14522	RXN-13529 // RXN-13528
CPD-11675	RXN-10785 // 3.4.23.39-RXN // 3.4.23.38-RXN
DIHYDROXY-BUTANONE-P	LUMAZINESYN-RXN // DIOHBUTANONEPSYN-RXN
PROTOHEME	RXN-17522 // PROTOHEMEFERROCHELAT-RXN // RXN-17523 // RXN-18338 // RXN-18339 // RXN-18341 // HEME-OXYGENASE-DECYCLIZING-RXN // RXN-14697 // RXN-14696 // RXN-18346 // RXN-18347 // RXN-18337 // HEMEOSYN-RXN // RXN-17519 // RXN-15808 // TRANS-RXN0-162
CPD-18283	RXN-16962 // RXN-16961 // RXN-16960
CPD-4441	RXN-4662 // RXN-4735 // RXN-4734 // RXN-4733 // RXN-4541 // TRANS-RXN-201
CPD-238	RXN-12492 // PHENYLALANINE-2-MONOOXYGENASE-RXN
CPD-18843	RXN-17432 // RXN-17431 // RXN-17434
18-HYDROXYCORTICOSTERONE	RXN66-361 // RXN66-360
CPD-18844	RXN-17433 // RXN-17432
CPD-6885	RXN-7486
CPD-18841	RXN-17430 // RXN-17429 // RXN-17436
AMMONIA	RXN-11811 // RXN-15862 // AMONITRO-RXN // RXN-18499 // RXN-18398 // RXN-17130 // TRANS-RXN0-544 // RXN-16587
CPD-18842	RXN-17431 // RXN-17430 // RXN-17435
CPD-9403	""
CPD-18881	RXN-17468 // RXN-17463 // RXN-18417
S-1-PHENYLETHANOL	RXN-1302 // RXN-1301
CPD-18882	RXN-17467 // RXN-17462 // RXN-18421
CPD-11749	RXN-17198
CPD-18879	RXN-17466 // RXN-17461 // RXN-18415
CPD0-1810	""
CPD-18880	RXN-17465 // RXN-17460 // RXN-18419
CPD-14383	""
CPD-18864	RXN-17447
DIETHYLPHOSPHATE	RXN-8747 // PHOSPHO-DETHIO-RXN // RXN-8746
CPD-18865	RXN-17448
CPD-18226	RXN-16902
CPD-18859	RXN-17442
PHOSPHORYL-ETHANOLAMINE	2.7.7.14-RXN // 2.1.1.103-RXN // RXN-7948 // ETHANOLAMINE-PHOSPHATE-PHOSPHO-LYASE-RXN // 3.1.4.13-RXN // RXN-17738 // RXN-17734 // RXN-11377 // RXN3DJ-11230 // RXN-13729 // SPHINGANINE-1-PHOSPHATE-ALDOLASE-RXN // ETHANOLAMINE-KINASE-RXN
CPD-18869	""
CPD-20205	RXN-18839 // RXN-18845
CPD-18863	RXN-17446
15-ANHYDRO-D-GLUCITOL	1.1.1.263-RXN // RXN-16613
CPD-18848	RXN-17435 // RXN-17438 // RXN-17443
CPD-668	CARBOXYMETHYLOXYSUCCINATE-LYASE-RXN
