"Compound"	"CAS"	"HMDB"	"KEGG"	"PubChem"
CPD-13086				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=52940209'>52940209</a>"
CPD-16017				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=25271616'>25271616</a>"
CPD-12193		"<a href='http://www.hmdb.ca/metabolites/HMDB34297'>HMDB34297</a>"		"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=25630959'>25630959</a>"
CPD-12189				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5460984'>5460984</a>"
CPD-12170				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=46173398'>46173398</a>"
CPD-20794			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C21839'>C21839</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=124081728'>124081728</a>"
CPD-15927				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=90657783'>90657783</a>"
12-OXO-TRANS-10-DODECENOATE		"<a href='http://www.hmdb.ca/metabolites/HMDB37326'>HMDB37326</a>"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C16309'>C16309</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=15388629'>15388629</a>"
CPD0-1163				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=91828294'>91828294</a>"
12-OXO-CIS-9-DODECENOATE			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C16311'>C16311</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=25243932'>25243932</a>"
CPD-21825				
CPD-17096				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=3035433'>3035433</a>"
CPD-16374				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=70678639'>70678639</a>"
CPD-8090				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=52922845'>52922845</a>"
12-DIBROMOETHANE		"<a href='http://www.hmdb.ca/metabolites/HMDB60334'>HMDB60334</a>"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C11088'>C11088</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=7839'>7839</a>"
CPD-21820				
CPD-8093				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=52922731'>52922731</a>"
CPD-20791			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C21973'>C21973</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=16069589'>16069589</a>"
CPD-14682				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=90657821'>90657821</a>"
CPD-21826				
CPD-17021			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C21147'>C21147</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=146429'>146429</a>"
CPD-7389			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C08730'>C08730</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5281295'>5281295</a>"
CPD-16364				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=90657557'>90657557</a>"
CPD-18695				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=122706293'>122706293</a>"
CPD-20429				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=131841541'>131841541</a>"
CPD-21821				
CPD-18654				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=122706298'>122706298</a>"
CPD-20808				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=76308649'>76308649</a>"
CPD-13784				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=56927805'>56927805</a>"
CPD-19159				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=122706499'>122706499</a>"
CPD-21824				
CPD-17022				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=146758'>146758</a>"
CPD-17482				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=91820331'>91820331</a>"
CPD-16363				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=70678607'>70678607</a>"
CPD-13405	"<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=923-06-8'>923-06-8</a>"			"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=21650627'>21650627</a>"
CPD-16878				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=12691398'>12691398</a>"
CPD-20804				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=101677549'>101677549</a>"
CPD-19476				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=122164863'>122164863</a>"
CPD-16383				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=90658277'>90658277</a>"
CPD-17479				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=91820014'>91820014</a>"
CPD-16353		"<a href='http://www.hmdb.ca/metabolites/HMDB11771'>HMDB11771</a>"		"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=644245'>644245</a>"
CPD-7094				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=131841560'>131841560</a>"
CPD-16863				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=90657261'>90657261</a>"
CPD-19480				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=123131527'>123131527</a>"
CPD-16672				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=131841562'>131841562</a>"
CPD-20800			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C21838'>C21838</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=21671525'>21671525</a>"
CPD-17814				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=91820456'>91820456</a>"
CPD-19477				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=122164865'>122164865</a>"
CPD-16371				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=90658555'>90658555</a>"
CPD-7392				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=10071442'>10071442</a>"
CPD-16673				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=131841453'>131841453</a>"
N-BROMOSUCCINIMIDE				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=67184'>67184</a>"
CPD-8978		"<a href='http://www.hmdb.ca/metabolites/HMDB12228'>HMDB12228</a>"		"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=12691392'>12691392</a>"
CPD-19481				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=123131590'>123131590</a>"
CPD-16674				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=131841428'>131841428</a>"
CPD-20792			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C21974'>C21974</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=11067734'>11067734</a>"
CPD-19478				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=123131552'>123131552</a>"
CPD-16395				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=90658512'>90658512</a>"
CPD-2982			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C08576'>C08576</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5281220'>5281220</a>"
CPD-19822			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C21495'>C21495</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=71694409'>71694409</a>"
CPD-16671				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=131841586'>131841586</a>"
CPD-7952				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=87442439'>87442439</a>"
