"Compound"	"CAS"	"HMDB"	"KEGG"	"PubChem"
CPD-21602				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=135398029'>135398029</a>"
HOMO-CYS	"<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=6027-13-0'>6027-13-0</a>" // "<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=454-28-4'>454-28-4</a>"	"<a href='http://www.hmdb.ca/metabolites/HMDB00742'>HMDB00742</a>"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00155'>C00155</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=6971015'>6971015</a>"
CPD-20232				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=136494623'>136494623</a>"
FRUCTOSEGLYCINE		"<a href='http://www.hmdb.ca/metabolites/HMDB60278'>HMDB60278</a>"		"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=50986145'>50986145</a>"
CPD-8211				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=6390'>6390</a>"
CPD-18799				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=51397976'>51397976</a>"
DINITRO-L-TYROSINE	"<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=17360-11-11'>17360-11-11</a>"			"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=90657461'>90657461</a>"
CPD-3261		"<a href='http://www.hmdb.ca/metabolites/HMDB31816'>HMDB31816</a>"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01495'>C01495</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=25201487'>25201487</a>"
DIIODO-L-TYROSINE	"<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=66-02-4'>66-02-4</a>" // "<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=300-39-0'>300-39-0</a>"	"<a href='http://www.hmdb.ca/metabolites/HMDB03474'>HMDB03474</a>"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01060'>C01060</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=28094582'>28094582</a>"
UROPORPHYRINOGEN-III	"<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=1976-85-8'>1976-85-8</a>"	"<a href='http://www.hmdb.ca/metabolites/HMDB01086'>HMDB01086</a>"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01051'>C01051</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=25202645'>25202645</a>"
CYSTINE	"<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=24645-67-8'>24645-67-8</a>"	"<a href='http://www.hmdb.ca/metabolites/HMDB00192'>HMDB00192</a>"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01420'>C01420</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=6992103'>6992103</a>"
CPD0-1564				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=6991967'>6991967</a>"
CPD-9793				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=25202810'>25202810</a>"
CPD-20177				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=10343777'>10343777</a>"
CPD-20389				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=7020632'>7020632</a>"
CPD-15826				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=23615358'>23615358</a>"
CPD-9699		"<a href='http://www.hmdb.ca/metabolites/HMDB29427'>HMDB29427</a>"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C08287'>C08287</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=25244430'>25244430</a>"
CPD-68	"<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=22059-21-8'>22059-21-8</a>"	"<a href='http://www.hmdb.ca/metabolites/HMDB36458'>HMDB36458</a>"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01234'>C01234</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=6971063'>6971063</a>"
CPD-10512				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=25202344'>25202344</a>"
CPD-20229				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=135845004'>135845004</a>"
CPD-3739				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=7020882'>7020882</a>"
CPD-7671		"<a href='http://www.hmdb.ca/metabolites/HMDB03227'>HMDB03227</a>"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00409'>C00409</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=878'>878</a>"
CPD-273	"<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=1113-83-3'>1113-83-3</a>"	"<a href='http://www.hmdb.ca/metabolites/HMDB00833'>HMDB00833</a>"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03410'>C03410</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=16738688'>16738688</a>"
CPD-3321			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C16138'>C16138</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=23657811'>23657811</a>"
CPD-19526				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=6918961'>6918961</a>"
CPD-18661				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=122706297'>122706297</a>"
CPD-17880			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03665'>C03665</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5245672'>5245672</a>"
CPD-161	"<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=1190-49-4'>1190-49-4</a>"	"<a href='http://www.hmdb.ca/metabolites/HMDB00679'>HMDB00679</a>"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C02427'>C02427</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=6991977'>6991977</a>"
CPD-20362				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=131841531'>131841531</a>"
L-ASCORBATE-6-PHOSPHATE			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C16186'>C16186</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=54723847'>54723847</a>"
CPD-15403				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=90659115'>90659115</a>"
CPD-8318				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5469581'>5469581</a>"
CPD-14986				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=90659023'>90659023</a>"
CPD-14638				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=90659118'>90659118</a>"
CPD-20222				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=129320278'>129320278</a>"
CPD-14090				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=90657466'>90657466</a>"
DITHIOTHREITOL	"<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=3483-12-3'>3483-12-3</a>"	"<a href='http://www.hmdb.ca/metabolites/HMDB13593'>HMDB13593</a>"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00265'>C00265</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=439196'>439196</a>"
CPD-13901				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=90657164'>90657164</a>"
CPD-7284			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C15517'>C15517</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=11870241'>11870241</a>"
CPD-13900				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=90658450'>90658450</a>"
CPD-7903				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=91820495'>91820495</a>"
CPD-12288		"<a href='http://www.hmdb.ca/metabolites/HMDB00021'>HMDB00021</a>"		"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=6918986'>6918986</a>"
CPD-12255				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=6995172'>6995172</a>"
CPD-21318				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=134820467'>134820467</a>"
3-SULFINOALANINE	"<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=1115-65-7'>1115-65-7</a>"	"<a href='http://www.hmdb.ca/metabolites/HMDB60179'>HMDB60179</a>"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00606'>C00606</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=1549097'>1549097</a>"
L-LEUCYL-L-LEUCINE		"<a href='http://www.hmdb.ca/metabolites/HMDB28933'>HMDB28933</a>"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C11332'>C11332</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=6992072'>6992072</a>"
CPD-20140		"<a href='http://www.hmdb.ca/metabolites/HMDB35027'>HMDB35027</a>"		"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=10787295'>10787295</a>"
CPD-15828				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5459902'>5459902</a>"
CPD-16942				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5177120'>5177120</a>"
CPD-17111				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=136630934'>136630934</a>"
OPLOPHORUS-LUCIFERIN			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C15037'>C15037</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=135445694'>135445694</a>"
CPD-17028				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=86289934'>86289934</a>"
CPD-11776			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01897'>C01897</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=24360'>24360</a>"
CPD-20129				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=23618097'>23618097</a>"
QUININE		"<a href='http://www.hmdb.ca/metabolites/HMDB14611'>HMDB14611</a>"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C06526'>C06526</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=6999115'>6999115</a>"
CPD-20386				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=7021825'>7021825</a>"
CPD-14948				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5320287'>5320287</a>"
CPD-17112				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=136165273'>136165273</a>"
CPD-20238				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=131841599'>131841599</a>"
L-CITRULLINE	"<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=372-75-8'>372-75-8</a>"	"<a href='http://www.hmdb.ca/metabolites/HMDB00904'>HMDB00904</a>"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00327'>C00327</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=6992098'>6992098</a>"
CPD0-1294				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=14859132'>14859132</a>"
CPD0-1562		"<a href='http://www.hmdb.ca/metabolites/HMDB04122'>HMDB04122</a>"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C05704'>C05704</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=44123456'>44123456</a>"
CPD-18796				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=20848971'>20848971</a>"
D-PHENYLGLYCINE				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=6931075'>6931075</a>"
CPD-11444		"<a href='http://www.hmdb.ca/metabolites/HMDB02211'>HMDB02211</a>"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C05766'>C05766</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=25201940'>25201940</a>"
CPD-19351				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=122706127'>122706127</a>"
CPD-20358				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=7016079'>7016079</a>"
CPD-20193				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=190618'>190618</a>"
CPD-13210				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=91509'>91509</a>"
CPD-13211				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=92930'>92930</a>"
5-10-METHENYL-THF	"<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=7444-29-3'>7444-29-3</a>"	"<a href='http://www.hmdb.ca/metabolites/HMDB01354'>HMDB01354</a>"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00445'>C00445</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=135926594'>135926594</a>"
CPD-20480				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=161880'>161880</a>"
CPD-20233				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=136182293'>136182293</a>"
CPD-10467				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=6343'>6343</a>"
CPD-20130				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=11007913'>11007913</a>"
CPD-10058			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C19083'>C19083</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=24883459'>24883459</a>"
CPD-10057			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C11937'>C11937</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=443522'>443522</a>"
CPD-9484				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=134820073'>134820073</a>"
CPD-4981			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C18025'>C18025</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=442478'>442478</a>"
CPD0-1910				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=102515432'>102515432</a>"
CPD-4921			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C06305'>C06305</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=440966'>440966</a>"
CPD-11619		"<a href='http://www.hmdb.ca/metabolites/HMDB05960'>HMDB05960</a>"		"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=6931662'>6931662</a>"
CPD-20224			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C21702'>C21702</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=520384'>520384</a>"
CPD-20230				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=135478034'>135478034</a>"
CPD-4901				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=78249'>78249</a>"
CPD-21129			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C08390'>C08390</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=7848'>7848</a>"
CPD-7236		"<a href='http://www.hmdb.ca/metabolites/HMDB00811'>HMDB00811</a>"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C15515'>C15515</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=21158657'>21158657</a>"
CPD-16440				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=90659211'>90659211</a>"
CPD-8838			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C09694'>C09694</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5281523'>5281523</a>"
CPD-4889		"<a href='http://www.hmdb.ca/metabolites/HMDB30089'>HMDB30089</a>"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C09873'>C09873</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5281553'>5281553</a>"
UROPORPHYRIN_I	"<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=607-14-7'>607-14-7</a>"	"<a href='http://www.hmdb.ca/metabolites/HMDB00936'>HMDB00936</a>"		"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=25201570'>25201570</a>"
CPD-13115				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=62086'>62086</a>"
CPD-8771				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=6430755'>6430755</a>"
CPD-9488				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=21120798'>21120798</a>"
CPD-12466				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=11815433'>11815433</a>"
CPD-20382				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=7019086'>7019086</a>"
CPD-20173				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=54582055'>54582055</a>"
CPD-8735		"<a href='http://www.hmdb.ca/metabolites/HMDB36995'>HMDB36995</a>"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C09898'>C09898</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=7462'>7462</a>"
L-PIPECOLATE	"<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=3105-95-1'>3105-95-1</a>"	"<a href='http://www.hmdb.ca/metabolites/HMDB00716'>HMDB00716</a>"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00408'>C00408</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=6931663'>6931663</a>"
CPD-4941			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C11951'>C11951</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=443529'>443529</a>"
CPD-2222			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03964'>C03964</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=9548632'>9548632</a>"
CPD-20226	"<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=123437-32-1'>123437-32-1</a>"			"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=135439140'>135439140</a>"
CPD-21186			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C20425'>C20425</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=9895'>9895</a>"
RETINOATE	"<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=302-79-4'>302-79-4</a>"	"<a href='http://www.hmdb.ca/metabolites/HMDB12874'>HMDB12874</a>"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00777'>C00777</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=6419707'>6419707</a>"
CPD-4902		"<a href='http://www.hmdb.ca/metabolites/HMDB38121'>HMDB38121</a>"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C20241'>C20241</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=79035'>79035</a>"
CPD-18000		"<a href='http://www.hmdb.ca/metabolites/HMDB35149'>HMDB35149</a>"		"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=11435957'>11435957</a>"
CPD-4890		"<a href='http://www.hmdb.ca/metabolites/HMDB36994'>HMDB36994</a>"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C06075'>C06075</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=11463'>11463</a>"
CPD-14130			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03092'>C03092</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=6857383'>6857383</a>"
CPD-13548				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=7048538'>7048538</a>"
CPD-9980				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=25203532'>25203532</a>"
CPD-2961		"<a href='http://www.hmdb.ca/metabolites/HMDB01316'>HMDB01316</a>"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00345'>C00345</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=36688186'>36688186</a>"
CPD-20355				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=7082009'>7082009</a>"
CPD-4261		"<a href='http://www.hmdb.ca/metabolites/HMDB04472'>HMDB04472</a>"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C09844'>C09844</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=2758'>2758</a>"
CPD-8355		"<a href='http://www.hmdb.ca/metabolites/HMDB11506'>HMDB11506</a>"		"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=58177709'>58177709</a>"
CPD-13045			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C09800'>C09800</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=12443156'>12443156</a>"
CPD-10051		"<a href='http://www.hmdb.ca/metabolites/HMDB03450'>HMDB03450</a>"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00964'>C00964</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=94221'>94221</a>"
RENILLA-LUCIFERIN			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00982'>C00982</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=135398664'>135398664</a>"
CPD-8736		"<a href='http://www.hmdb.ca/metabolites/HMDB05806'>HMDB05806</a>"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C09900'>C09900</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=7461'>7461</a>"
CPD-13549				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=54758572'>54758572</a>"
CPD-13677				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=122706120'>122706120</a>"
CPD-1001	"<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=99-87-6'>99-87-6</a>"	"<a href='http://www.hmdb.ca/metabolites/HMDB05805'>HMDB05805</a>"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C06575'>C06575</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=7463'>7463</a>"
CPD-17899				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=10423909'>10423909</a>"
CPD-4942		"<a href='http://www.hmdb.ca/metabolites/HMDB35604'>HMDB35604</a>"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C09893'>C09893</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=442495'>442495</a>"
PROTOPORPHYRINOGEN	"<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=7412-77-3'>7412-77-3</a>"	"<a href='http://www.hmdb.ca/metabolites/HMDB01097'>HMDB01097</a>"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01079'>C01079</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=20849104'>20849104</a>"
CPD-4903		"<a href='http://www.hmdb.ca/metabolites/HMDB30088'>HMDB30088</a>"		"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5320250'>5320250</a>"
CPD-20223				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=637518'>637518</a>"
CPD-4894				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=12444324'>12444324</a>"
CPD0-1907				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=102515470'>102515470</a>"
CPD-20188				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=129320507'>129320507</a>"
CPD-14132				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=6857470'>6857470</a>"
CPD-19888				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=129320423'>129320423</a>"
CPD-4888		"<a href='http://www.hmdb.ca/metabolites/HMDB38169'>HMDB38169</a>"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C06074'>C06074</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=31253'>31253</a>"
CPD-10052		"<a href='http://www.hmdb.ca/metabolites/HMDB35622'>HMDB35622</a>"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C11408'>C11408</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=443177'>443177</a>"
CPD-20266				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=131841504'>131841504</a>"
CPD-13112	"<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=54774-47-9'>54774-47-9</a>"		"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C19864'>C19864</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=40159'>40159</a>"
CPD-11845				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=102515089'>102515089</a>"
CPD-8767			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C06304'>C06304</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=92221'>92221</a>"
CPD-1090	"<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=529-01-1'>529-01-1</a>"		"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C02485'>C02485</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=439733'>439733</a>"
CPD-19600				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=40467859'>40467859</a>"
CPD-20379				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=7408133'>7408133</a>"
D-ALLULOSE-6-PHOSPHATE				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=40467872'>40467872</a>"
CPD-19605			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C06516'>C06516</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=441066'>441066</a>"
